4.61928,4.56463,4.19747,4.59839,WFDC9
4.81944,4.05883,4.78836,4.67266,NEDD1
5.19812,4.78461,4.60109,4.76251,TTLL10
7.29239,6.89506,6.6872,6.93815,TTLL10
3.93969,3.72303,3.58533,3.7465,CALR3
5.08883,5.37036,5.27386,5.39378,C10orf25
5.77269,5.49633,5.89031,5.76167,ETV3
3.90212,3.791,3.69883,3.84986,KLHL10
4.91361,5.21212,4.79492,4.48835,KLHL10
10.2328,11.3389,10.4319,10.4013,TM2D3
4.76807,5.00298,4.42286,4.52768,ZNF485
3.20511,3.09963,3.12122,3.17867,WDR17
5.59682,5.74459,5.61374,5.21172,MFSD6L
5.73249,5.67798,5.32487,5.14652,LOC100653137///CDH23
3.69841,3.72428,3.76271,3.56239,ANKAR
3.30824,3.22847,3.17406,3.45417,MEGF11
3.86602,3.88842,3.78838,4.01225,GPR182
3.96094,3.93503,3.8403,3.62602,ESX1
4.06254,3.8483,3.8991,3.99836,FAM167A-AS1
4.16636,4.43701,4.13218,4.14282,SCGB1C2///SCGB1C1
5.6695,5.62793,5.80852,5.4119,DNAJC5G
4.06272,3.87519,3.87657,4.01121,WDR88
3.57472,3.63862,3.61065,3.32729,WDR88
4.32817,5.34973,4.98954,4.9596,PRUNE2
4.61878,4.6561,4.39011,4.20929,MBD3L2
3.95089,3.91564,3.95898,3.70139,ADAMTSL1
3.91189,3.8087,3.69649,3.48259,MBD3L1
4.32438,3.94309,4.1892,4.28339,MBD3L1
3.29434,3.48792,3.19327,3.22427,FAM46D
3.72413,3.68628,3.64216,3.51251,SERPINB11
3.26574,3.23863,3.27205,3.05013,LINC00161
6.86197,6.77876,6.70831,6.92752,DSCR10
4.60148,4.31158,4.289,4.35473,DSCR10
3.58871,3.63104,3.40324,3.74875,ABHD11
7.20881,6.71661,7.00499,6.6706,ACAP2
7.20881,7.70588,6.80283,7.1112,GAMT
7.15856,7.10384,7.05428,7.01922,GAMT
6.92622,6.54349,6.67935,6.73758,PLCD3
7.74631,7.03554,7.81168,7.8024,IRF6
4.20637,3.8771,3.81868,3.84406,IRF6
3.13785,3.12151,3.03215,2.88234,PTPRC
4.27209,4.26531,4.44494,4.04914,MAN1A2
5.17114,5.38976,5.08447,5.97899,RAPH1
6.66087,6.65896,6.59456,6.43507,SMCR8
4.54854,4.53136,5.05846,4.70329,LACTB
4.13317,4.17231,4.97708,3.87838,LACTB
3.31041,3.34192,3.25397,3.36113,BNC1
3.26666,3.30605,3.30311,3.18141,MPP4
4.01543,3.91386,4.1751,3.84763,LACE1
5.254,5.29058,5.04765,4.82957,IDI2
4.11633,4.20375,4.0119,3.91862,CYP11B1
4.5875,4.70225,4.13898,4.26702,TAF8
5.07802,4.68886,4.80653,5.7559,COBL
5.98356,5.93896,5.81659,5.88874,SLAMF6
4.332,4.2338,4.08337,4.15996,ZSCAN20
4.52419,4.86645,4.61165,4.9495,ZSCAN20
5.54837,5.89109,5.65221,5.65456,GPBAR1
4.03265,3.75532,4.40334,3.80196,RHBDL2
5.10855,5.15671,5.18738,5.11981,FRAS1
5.73687,6.05026,5.488,5.99793,BRSK1
3.98723,4.32359,4.04041,4.44965,CRB2
4.04833,4.03807,6.48626,4.65002,KCNE4
4.28002,4.18782,4.66057,4.19627,KCNE4
3.64874,3.7335,3.69649,3.82797,CD300LG
