Source,Target,References(PMID)
AATF,BAX,22909821
AATF,CDKN1A,17157788
AATF,KLK3,23146908
AATF,MYC,20549547
AATF,TP53,17157788
ABL1,BAX,11753601
ABL1,BCL2,11753601
ABL1,BCL6,15509806
ABL1,CCND2,15509806
ABL1,CDKN1A,11753601;9916993
ABL1,CSF1,23418320
ABL1,CSF1,18619508
ABL1,FOXO3,15509806
ABL1,JUN,15145216
ABL1,JUN,19357699
ABL1,PIM1,15145216
ABL1,TP53,11753601
AES,EPHA3,20676368
AES,LEF1,20676368
AES,RND3,23546594
AHR,ABCG2,20460431
AHR,AHRR,18848529
AHR,ARNT,19255421;8631989
AHR,BRCA1,18259752
AHR,CA9,19154183
AHR,CCND1,24380854
AHR,CCNG2,22596188
AHR,CYP1A1,12213390;9865727
AHR,CYP1A1,17012224
AHR,CYP1A1,10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR,CYP1A2,21357676
AHR,CYP1B1,16115918;19287966
AHR,CYP1B1,12376470;19376845;21742528;24299737
AHR,CYP2B6,19928584
AHR,FOS,10478842
AHR,IL13,22981205
AHR,IL1B,23349129
AHR,IL6,20511231
AHR,IL6,18483242;23349129
AHR,MFSD2A,21736709
AHR,MT2A,23994556
AHR,MYC,11114727;16091746
AHR,PCNA,12417031
AHR,RFC3,12417031
AHR,UGT1A1,18172616
AHR,UGT1A6,9466822
AIP,AHR,11469723
AIP,GREB1,21984905
AIP,NFKB2,21984905
AIP,RSF1,21984905
AIP,TFF1,21984905
AIRE,CHRNA1,17687331
ANKRD1,NPPA,18273862
APBB1,GMPS,21453247
APC,AKT1,15888491
APC,AMHR2,12724325
APC,BIRC5,11751382
APC,DLG1,21858148
APC,DNMT1,12538344
APC,F8,12010799
APC,KLF4,12387883
APC,MYC,16510874
APC,NOS2,11935128
APC,ODC1,12112318
APC,PTGS2,10772828;12566320
APC,PTGS2,11396184
APC,SGK1,18487207
APEX1,CCL2,17045925
APEX1,CD19,10666449
APEX1,CYP11B2,22652909
APEX1,NFKB1,17045925
APEX1,PTH,14633989
APEX1,RELA,17045925
APEX1,SLC5A5,14630715
AR,ACTA1,15623502
AR,AKR1C3,22971343
AR,AKT1,11278645
AR,AKT1,20589722
AR,ALDH1A3,17526768
AR,ARG1,20711410
AR,ARG2,20711410
AR,ATAD2,22771493
AR,BSG,14633669
AR,BTG1,16281084
AR,BTG2,16281084
AR,CDK20,21747169
AR,CDC6,24583551
AR,CDC6,18541154
AR,CDH1,18794357
AR,CDH11,20191612
AR,CDH2,17297473;18535113
AR,CDK20,21747169
AR,CDK6,15790678
AR,CDKN1A,10076995
AR,CDKN1A,16281084
AR,CLK3,16281084
AR,CRH,16446741
AR,CRISP1,11223178
AR,CRISP3,11223178
AR,CTNNB1,18535113
AR,CYP7B1,16630558
AR,EGFR,11556855;21613411
AR,ELK4,18469865
AR,EP300,22334658
AR,ERBB2,21613411
AR,ERBB2,21741601
AR,ERBB3,21741601
AR,ETV1,19789348
AR,FKBP4,23192983
AR,FN1,21055159
AR,FOLH1,12539223
AR,FOXA1,12750453
AR,GNMT,23997240
AR,GREB1,16496412
AR,GTF2F1,9238003
AR,HMMR,18174258
AR,HMOX1,11965035
AR,IFI16,16494870
AR,IGF1R,15033751;17202144
AR,IGFBP3,23859805
AR,JUN,20148354
AR,KISS1,18331266
AR,KISS1R,18331266
AR,KLF5,19460858
AR,KLK1,11532861
AR,KLK2,11532861;16751804;20688158;9241247
AR,KLK3,10547578;11006269;11504717;11571582;12958311;16425097;16434977;16724108;17566103;20069563;21780100;22179832;23667504;8626436
AR,KLK3,16342680;9316650
AR,KLK3,11059779;11238180;11532861;12376473;12539223;12648523;12651911;15368351;15543614;15557561;15640095;17011549;17075604;17094454;17426252;17433535;18780293;18829551;19274665;21308712;21981678;22245379;22473899;23884959;24307657;7514587;9052414;9211894
AR,KLK4,12539223
AR,MED1,17483314
AR,MID1,24913494
AR,MUC1,21308711
AR,MYC,24512546
AR,NAT1,17210686
AR,NDRG1,17075604
AR,NFKB1,18386814
AR,NKX3-1,16697957;17303007
AR,NKX3-1,11238180
AR,NOV,23318417
AR,NRAS,16281084
AR,PC,18497079
AR,PSCA,23330817
AR,PEBP1,23095933
AR,PIGR,11171058
AR,PIP,21809344
AR,PMEPA1,17075604;18703514
AR,PNRC1,10894149
AR,KLK3,24937452
AR,PTEN,23418309
AR,PTEN,20729295;21532617
AR,PTGS2,18386814
AR,PTPN1,22282656
AR,RELA,18386814
AR,REST,24163104
AR,7-Sep,16281084
AR,SERPINB5,16304843
AR,SESN1,16751804
AR,SRD5A3,22194926
AR,STIM1,21432868
AR,TBP,9238003
AR,TCF7L2,12799378
AR,TGFA,11556855
AR,TH,16356647
AR,TJP1,18535113
AR,TMPRSS2,20308527;21761340
AR,TMPRSS2,23192983
AR,TRPS1,15613454
AR,TSC1,21036700
AR,TSC2,21036700
AR,UCN,23801677
AR,UGT2B15,18302198
AR,USP26,20501646
AR,VEGFA,16007189
AR,VEGFA,23369005
AR,VIM,18535113
AR,WEE1,16281084
AR,WNT7B,21741601
AR,XIAP,20589722
ARID1A,CDKN1A,21900401
ARID1A,IGH,18981111
ARID1A,SMAD3,21900401
ARID1B,IGH,18981111
ARID3A,CDC6,23659165
ARID3A,CDK1,23659165
ARID3A,CR2,19487031
ARID3A,E2F1,23659165
ARID3A,PML,22010578
ARID3A,RBL1,23659165
ARNT,AHR,18540824
ARNT,BHLHE40,12354771
ARNT,BRCA1,16567799
ARNT,CA9,22387692
ARNT,CCNE1,21544813
ARNT,CDK2,21544813
ARNT,CTSD,9611253
ARNT,CYP1A1,22387692
ARNT,CYP1A1,12376470;19255421;19376845;8631128
ARNT,CYP1B1,16115918;19287966
ARNT,CYP1B1,12376470;19255421;19376845;21742528;24299737
ARNT,EGLN2,15178343
ARNT,EPO,8663540
ARNT,ESR1,17991765
ARNT,FOS,21544813
ARNT,GAD1,18335162
ARNT,HIF1A,14764593
ARNT,JUN,21544813
ARNT,MFSD2A,21736709
ARNT,RELB,17900530
ARNT,UGT1A6,20854796
ARNT,VEGFA,16774940;19020709
ARNTL,BHLHE40,19032342
ARNTL,CRY1,22750052
ARNTL,CRY1,17660446
ARNTL,CRY2,22750052
ARNTL,CRY2,17660446
ARNTL,PER1,17994337;22750052
ARNTL,PER1,17660446;21479263
ARNTL,PER2,22750052
ARNTL,PER2,17660446
ARNTL,PER3,22750052
ARNTL2,SERPINE1,22198637
ARX,KDM5C,23246292
ARX,LMO1,23771350
ARX,PAX4,23771350
ARX,SHOX2,23771350
ASCL1,CHRNA3,20124469
ASCL1,CHRNA5,20124469
ASCL1,CHRNB4,20124469
ASCL1,DKK1,19744316
ASCL1,IGF2,20842449
ASCL1,PCSK6,11736660
ASCL1,TPH1,19744316
ASH1L,TGFB1,22488473
ASH1L,TIMP1,22488473
ASXL1,FABP4,21047783
ATF1,BCL2,10542244
ATF1,CCNA1,12044952
ATF1,CFTR,10075672
ATF1,CGA,10341006
ATF1,CYP11B1,11014212;11196473
ATF1,CYP11B2,11196473
ATF1,ERBB2,10698518
ATF1,FLT1,7499271
ATF1,FTH1,17565989
ATF1,FTH1,17565989
ATF1,GABPA,10585419
ATF1,IL10,10540320
ATF1,LDHA,9632793
ATF1,MAP1LC3B,20514020
ATF1,MITF,12966428
ATF1,MITF,20068147
ATF1,MUC2,16227528
ATF1,NTS,7791794
ATF1,PCSK1,8999965
ATF1,PLAUR,12369939
ATF1,SLC20A1,11722845
ATF1,SLC22A8,16809478
ATF1,TGFB2,11776974
ATF1,TH,11108136
ATF1,TOP2A,12104051
ATF1,USP7,7642633
ATF2,APOC3,9760243
ATF2,ATF3,10979959;20581861;8576171
ATF2,CCND1,10464245;10915780
ATF2,CDKN1A,10506225
ATF2,CYP11B1,11014212;11196473
ATF2,CYP11B2,11196473
ATF2,DUSP1,17681939
ATF2,DUSP10,17681939
ATF2,FAS,19670268
ATF2,FASLG,19670268;9710625
ATF2,FN1,10471826
ATF2,KAT5,18397884
ATF2,IFNB1,17496231
ATF2,IFNB1,10848607
ATF2,IFNG,12836278;18641343;20006311;20304822
ATF2,IMPDH2,9278455
ATF2,INS,21278380
ATF2,INS,10909971
ATF2,ITGB8,21878622
ATF2,JUN,9502786
ATF2,MAP3K1,9710625
ATF2,MMP2,17079470;17258390
ATF2,NOS3,16497991
ATF2,PCK1,12453892
ATF2,PCK2,11042264
ATF2,PLAT,8647095
ATF2,PLAU,10454570
ATF2,POLB,10518804
ATF2,PTGS2,11278336;12057991
ATF2,RELA,21350211
ATF2,RETN,20360975
ATF2,ST3GAL5,21699754
ATF2,TGFB2,1400310
ATF2,TNF,10688670;10748079;10913190;20068037
ATF3,ADIPOR1,20696134
ATF3,ADIPOR2,20696134
ATF3,AK4,23002211
ATF3,ASNS,12881527
ATF3,ASNS,15385533
ATF3,CCL5,10760799
ATF3,CD82,21454613
ATF3,DDIT3,22753726
ATF3,GDF15,15670751
ATF3,ID1,20565867
ATF3,IFNG,20304822
ATF3,PCLAF,19219066
ATF3,LDLR,21294679
ATF3,MMP2,11792711;15102941
ATF3,PENK,7935470
ATF3,SELE,10964678
ATF3,TP53,22991139
ATF4,APOE,22028770
ATF4,ASNS,11960987;16164412;17276738
ATF4,ASNS,15385533;23403946
ATF4,ATF3,16246168;21801305
ATF4,ATF3,22819556
ATF4,ATG5,20038797
ATF4,BGLAP,21866569
ATF4,CA9,19564335
ATF4,CCL2,16931790
ATF4,CEBPB,16026328
ATF4,CHAC1,21737788
ATF4,CXCL8,16931790
ATF4,DDIT3,16246168;17276738;20020050;21044953;21966512
ATF4,DDIT3,17455323;22691366
ATF4,DDIT4,19059405;19439225
ATF4,DDR2,20564243
ATF4,DISC1,12812986
ATF4,F7,22848420
ATF4,FGF19,23205607
ATF4,FGF21,22233381
ATF4,HRK,23090478
ATF4,HSPA5,16205636
ATF4,IGFBP1,16687408
ATF4,IL6,16931790
ATF4,IRF7,21148039
ATF4,MAP1LC3B,20038797;20514020
ATF4,MCL1,22128141
ATF4,NDC80,17822787
ATF4,NUPR1,19946894
ATF4,PLAU,18829529
ATF4,PTGS2,21244365
ATF4,S100P,19073601
ATF4,SIGMAR1,22079628
ATF4,SIRT1,22363646
ATF4,SIRT1,21801305
ATF4,SIRT2,21801305
ATF4,TNFRSF10B,21044953
ATF4,TRIB3,15775988
ATF4,TRIB3,20592469;21220698
ATF4,VEGFA,15788408;18829529
ATF4,VEGFA,18451308;22915762;23908598
ATF5,BCL2,21212266
ATF5,CCND3,16300731
ATF5,CREB1,17140605
ATF5,CYP2B6,18332083
ATF5,DISC1,12812986
ATF5,EGR1,19531563
ATF5,ID1,18701499
ATF5,SH2D1A,18832568
ATF6,ATP2A2,11595740
ATF6,BGLAP,22102412
ATF6,DDIT3,17455323
ATF6,DNAJC3,12601012
ATF6,HSPA5,12713871
ATF6,MAFA,18450959
ATF6,NR0B2,18450959
ATF6,NUCB1,17686766
ATF6,PDX1,18450959
ATF6,RTN3,17191123
ATF6,SRF,9271374
ATF6,STARD4,16579971
ATF6,WBP1,21841196
ATF6,XBP1,20003459;24269637
ATF7,ERBB2,10698518
ATF7,TAF12,15735663
ATM,APLF,18077224
ATM,BAX,16214353
ATM,BCL2,16214353
ATM,CDKN1A,12420214
ATM,CFLAR,19351839
ATM,CFLAR,20876284
ATM,DUSP1,17178844
ATM,FAS,19502594
ATM,FOXM1,21518729
ATM,GADD45A,20164679
ATM,IGF1R,11172010
ATM,KLRK1,19767562
ATM,MCL1,20164679
ATM,MTF1,12926986
ATM,PBK,15220931
ATM,PCNA,22362778
ATM,PMAIP1,20368352
ATM,PVR,21406724
ATM,PVR,21406724
ATM,SLC2A1,20676049
ATM,SP1,11466608
ATM,SP1,12926986
ATM,TERF1,17694070
ATM,TNFRSF10B,19351839
ATM,VEGFA,20676049
ATOH1,HES6,17826772
ATOH1,MUC2,17000673
ATRX,HBA1,7697714
ATRX,HBA2,7697714
BACH1,HMOX1,17942419
BACH1,HMOX1,17409198;18550526;21982894
BACH1,MMP1,21873975
BACH2,BCL2,18929412
BACH2,IL2,18769450
BACH2,XBP1,24821775
BARD1,ESR1,20060929
BARX2,ESR1,16636675
BATF,CD2,22592317
BCL11A,GATA1,23071749
BCL11A,GATA1,20542454
BCL3,CTCF,21912613
BCL3,EGFR,17881446
BCL3,MYB,9694711
BCL3,NFKB1,11387332
BCL3,NFKB1,14573596;7896265
BCL3,RELA,7896265
BCL6,BCL2L1,11777915
BCL6,BCL6,12407182
BCL6,CCND2,15509806;22723377
BCL6,CD80,12860928
BCL6,CDKN1A,16142238
BCL6,CDKN2B,22723377
BCL6,CHEK1,18346918
BCL6,FCER2,11342629
BCL6,HDAC7,11929873
BCL6,IRF4,10601358
BCL6,LITAF,23795761
BCL6,MYC,21394099
BCL6,NFKB1,15611242
BCL6,PDCD2,20605493
BCL6,PDCD2,11854457;17468402
BCL6,STAT3,17951530
BCL6,SUMO1,22723377
BCL6,XBP1,24821775
BDP1,MYC,12734418
BDP1,RB1,12734418
BDP1,TP53,12734418
BHLHE41,CCND1,18223678
BHLHE41,MLH1,24165159
BIN1,MYC,9797456
BMI1,TERT,19903340
BPTF,HOXC8,16728976
BRCA1,AREG,20103632
BRCA1,ASPM,16123590
BRCA1,ATM,22832221
BRCA1,BACH1,14576433
BRCA1,BRCA2,11405179
BRCA1,CASR,21296416
BRCA1,CCNB1,12647291
BRCA1,CCND1,12032322
BRCA1,CDH3,22120723
BRCA1,CDH3,19882246
BRCA1,CDKN1A,16735508;18025037;21245169
BRCA1,CDKN1A,10196224;11394910;12647291;9926942
BRCA1,CDKN1B,18025037
BRCA1,CDKN1B,16331276
BRCA1,CTSD,11244506
BRCA1,CXCL1,22120723
BRCA1,CYP19A1,21087664
BRCA1,CYP19A1,19445691
BRCA1,CYP1A1,16567799
BRCA1,CYP1B1,16567799
BRCA1,DDB2,12170778
BRCA1,DDIT3,21700680
BRCA1,E2F6,17096023
BRCA1,EGFR,21396117
BRCA1,EGR1,20103632
BRCA1,EP300,11782371
BRCA1,EP300,11405179
BRCA1,ESR1,20060929
BRCA1,FOS,11313879
BRCA1,FOXC1,22120723
BRCA1,FOXC2,22120723
BRCA1,FST,22685544
BRCA1,GADD45A,10962562;17428466;18025037
BRCA1,GADD45A,18350249
BRCA1,GADD45A,11777930;12647291
BRCA1,HIF1A,16543242
BRCA1,HMGA2,20007691
BRCA1,HNRNPA2B1,21099359
BRCA1,HSPA5,18776923
BRCA1,IFNA1,17374731
BRCA1,IGF1,18045956
BRCA1,IGF1R,11001824;19223505
BRCA1,IRF7,17374731
BRCA1,IRF9,12212615
BRCA1,JAK1,11163768
BRCA1,JAK2,11163768
BRCA1,KHSRP,21099359
BRCA1,KRT17,19882246
BRCA1,KRT18,15831101
BRCA1,KRT5,16241993;19882246
BRCA1,MAD2L1,15563594
BRCA1,MDC1,22942284
BRCA1,MDM2,11256609
BRCA1,MYC,12032322;12646176
BRCA1,RNASEL,15940267
BRCA1,S100A2,24556685
BRCA1,SIRT1,18851829;20160719;21407215;9000507
BRCA1,STAT1,17374731
BRCA1,STAT2,17374731
BRCA1,STAT3,11163768
BRCA1,TFF1,11244506
BRCA1,TP63,16241993
BRCA1,VEGFA,16543242
BRCA1,XPC,12647291
BRCA2,DMC1,17541404
BRCA2,PSMD3,17563742
BRCA2,PSMD6,17563742
BRCA2,RAD51,12967658;17515904;19628690;20729859
BRD7,BRD2,12600283
BRD7,BRD3,12600283
BRD7,E2F3,16475162
BRD7,E2F3,15137061
BRIP1,BARD1,20451671
BRIP1,MLH1,24351291
BRPF1,ING5,18794358
BRPF1,MEAF6,18794358
BTAF1,DR1,20627952
BTAF1,TBP,20627952
BTAF1,TBP,14988402;15509807;16858867
BTF3,ABL2,17312387
BTF3,ATM,17312387
BTF3,EPHB2,17312387
BTF3,HPSE2,17312387
BTF3,MADCAM1,17312387
BTF3,MRVI1,17312387
BTF3,NFKB1,17312387
BTF3,RRAS2,17312387
BTF3,SSPN,17312387
BTG2,CCND1,15870875;16849553
BTG2,HRAS,20197462
BTG2,KLK3,21172304
BTG2,SPHK1,16516161
CBFA2T3,TCF12,18456661
CBFA2T3,ZNF652,20116376
CBFB,GATA1,8683991
CBFB,RUNX1,24648201
CBFB,RUNX2,24648201
CBFB,RUNX3,24648201
CBX7,CCNE1,22214847
CBX7,CDH1,19706751
CBX8,CDKN1A,23474493
CDC5L,PLRG1,11544257
CDCA7L,MAOB,20980443
CDX1,DSC2,18819935
CDX1,IRF2BP2,23185413
CDX1,KRT20,19188603
CDX1,PCNA,11743638
CDX1,POSTN,22215184
CDX1,PPARG,19059241
CDX1,PTGS2,21613300
CDX1,TBP,17158164
CDX2,ABCB1,20699370
CDX2,ACAT2,16274362
CDX2,APC,23393221
CDX2,APC,24501326
CDX2,AXIN2,23393221
CDX2,AXIN2,24501326
CDX2,CDH17,20568120
CDX2,CDH17,12404231;15732140
CDX2,CDKN1A,12970742
CDX2,CFTR,22671145
CDX2,DSC2,18819935
CDX2,ELMO3,20127720
CDX2,FUT2,22547830
CDX2,GSK3B,24501326
CDX2,GSPT1,22580340
CDX2,GSTP1,22580340
CDX2,GUCY2C,11684084
CDX2,HEPH,15825077
CDX2,IGFBP3,17297462
CDX2,KLF4,11521200
CDX2,KLF4,23202735
CDX2,LCT,9148757
CDX2,MEP1A,22326557
CDX2,MUC17,16737958
CDX2,MUC2,12559945
CDX2,PTGS2,15013430
CDX2,REG4,23133598
CDX2,SLC15A1,16616718
CDX2,SLC9A2,11254504
CDX2,SP1,22580340
CDX2,TFF3,17182120
CDX2,UGT1A10,15044625
CDX2,UGT1A8,15044625
CDX2,UGT2B15,20070244
CDX2,UGT2B17,20070244
CDX2,VDR,11450701;16604479;16883525;19960008
CEBPA,AFP,15924879
CEBPA,ALB,10542249
CEBPA,BCL2,12970736
CEBPA,CCL2,24429361
CEBPA,CD163,10725797
CEBPA,CRMP1,18524846
CEBPA,CSF1,9632776
CEBPA,CSF2RA,7565736
CEBPA,CSF3R,10453008
CEBPA,CXCR2,18555777
CEBPA,CYP3A4,15100175
CEBPA,DEFA1,10706719
CEBPA,DEFA3,10706719
CEBPA,ELANE,19620402
CEBPA,ELANE,16247445
CEBPA,F9,8075306
CEBPA,FN1,1320003
CEBPA,GAPDH,12842822
CEBPA,HAMP,18671304
CEBPA,HK3,24584857
CEBPA,HOMER3,14645007
CEBPA,HSD17B11,21549806
CEBPA,HSPA4,2247079
CEBPA,ICAM1,9916895
CEBPA,ID1,22568493
CEBPA,IGF1,7708053
CEBPA,IGF2,7659086
CEBPA,IL10,12219016
CEBPA,IL3,10453008
CEBPA,IL5,10453008
CEBPA,IL6,11975924
CEBPA,INSR,8288055
CEBPA,ITGAX,9360988
CEBPA,LEP,21983012
CEBPA,MAD1L1,21345218
CEBPA,MSR1,9743233
CEBPA,MYC,12032779
CEBPA,PCK1,12237288
CEBPA,PCK2,11042264
CEBPA,PRL,17187171
CEBPA,S100A9,9706399
CEBPA,SAA1,12410800
CEBPA,SERPINC1,8910619
CEBPA,SFTPD,11912209
CEBPA,SLC10A1,11031103
CEBPA,SOCS3,19332118
CEBPA,SPI1,24429361
CEBPA,SPP1,14712233
CEBPA,STAR,18583320
CEBPA,STAT3,24429361
CEBPA,TLR9,15294971
CEBPA,VLDLR,10064725
CEBPB,ABCB1,15044620
CEBPB,ADM,9480831
CEBPB,ADM,12630823
CEBPB,ALB,10542249
CEBPB,ASNS,15385533
CEBPB,BCL2L1,19043455
CEBPB,BTS1,9030974
CEBPB,CDKN1A,15041706
CEBPB,CR2,19487031
CEBPB,CRP,12667216;23361365
CEBPB,CSF3R,10453008
CEBPB,CSH1,10855690
CEBPB,CSH2,10855690
CEBPB,CSRP1,14522018
CEBPB,CXCL8,15085176;15688424
CEBPB,CXCL8,11120852
CEBPB,CYP19A1,11994385
CEBPB,CYP19A1,7635140;8603036
CEBPB,DAPK1,19521987
CEBPB,DDIT3,16757577
CEBPB,F8,10959692
CEBPB,FASLG,12496392
CEBPB,FURIN,8132667
CEBPB,GADD45G,11012671
CEBPB,GDF15,24086573
CEBPB,GFER,20690902
CEBPB,GFER,20382118
CEBPB,GNLY,12460196
CEBPB,HBB,15833715
CEBPB,HP,11331273
CEBPB,HSF1,11801594
CEBPB,IL10,12493739
CEBPB,IL13,22981205
CEBPB,IL1B,17386941
CEBPB,IL1B,10383163;10801783
CEBPB,IL24,10942517
CEBPB,IL3,10453008
CEBPB,IL4,7594540
CEBPB,IL4,15048722
CEBPB,IL5,10453008
CEBPB,IL6,10903137;8725624
CEBPB,IL6,11120852
CEBPB,INSR,8288055
CEBPB,IRF4,19717648
CEBPB,MAD1L1,21345218
CEBPB,MMP1,19723873
CEBPB,OXTR,21734268
CEBPB,PCK2,8093246
CEBPB,PLAC1,19652226
CEBPB,PRDM1,19717648
CEBPB,PRL,10455153
CEBPB,PRSS50,18462069
CEBPB,PTGS2,16820889;18294142
CEBPB,PTGS2,18820298
CEBPB,PTGS2,10956548;16699180;17556653;7559624
CEBPB,PTPN13,11696979
CEBPB,S100A9,9706399
CEBPB,SAA1,12410800
CEBPB,SAA2,8244997
CEBPB,SFTPD,11912209
CEBPB,SLC10A1,11031103
CEBPB,SLC19A1,15652157
CEBPB,SLC5A8,20082847
CEBPB,STAR,18583320
CEBPB,STAR,10473624;11111087;19150388
CEBPB,TFF3,12297725
CEBPB,TNF,10629048;9566900
CEBPB,TNFAIP6,7876106
CEBPB,TNFAIP6,7935377
CEBPB,TOP1,8524227
CEBPB,XBP1,19717648
CEBPD,C3,8385337
CEBPD,CASP8,24810056
CEBPD,CCL20,23028973
CEBPD,CXCL1,23028973
CEBPD,CYP19A1,11994385
CEBPD,DDIT3,20971808
CEBPD,DDIT3,22347430
CEBPD,GADD45G,11012671
CEBPD,GAPDH,12842822
CEBPD,IL23A,23028973
CEBPD,PDGFRA,11278956
CEBPD,POU5F1,15284209
CEBPD,PPARG,10649448;18619497;20971808
CEBPD,PRL,10455153
CEBPD,PTGS2,7559624
CEBPD,SOD1,20385105
CEBPD,TNF,10629048
CEBPD,TNFAIP6,23028973
CEBPE,CTSG,16019164
CEBPE,GATA1,12202480
CEBPE,LTF,12522000
CEBPE,MMP2,19853299
CEBPE,MYC,12947005
CEBPE,PRG2,12202480
CEBPE,SPI1,12202480
CEBPG,HBB,15833715
CEBPG,SFTPD,11912209
CEBPZ,APC,15087381
CEBPZ,COL11A1,12805369
CEBPZ,COL1A2,8910550
CEBPZ,GZMB,9857074
CEBPZ,MLH1,11704838
CEBPZ,SOX9,15908194
CHD4,CD79A,23071088
CHD4,RNF8,22531782
CHD8,BRCA1,16949368
CHD8,CCNE2,19255092
CHD8,HOXA2,20085832
CHD8,MYC,16949368
CHD8,TYMS,19255092
CIITA,COL1A1,16439692
CIITA,COL1A2,16439692
CIITA,COL1A2,15247294
CIITA,CREBBP,9858618
CIITA,FASLG,14563113
CIITA,HLA-A,10329350
CIITA,HLA-B,11053628
CIITA,HLA-C,11053628
CIITA,HLA-DMA,9300700
CIITA,HLA-DMA,7495736
CIITA,HLA-DMB,9300700;9600954
CIITA,HLA-DMB,11332992;11889043;7495736
CIITA,HLA-DOA,11823510
CIITA,HLA-DOB,11823510
CIITA,HLA-DPB1,11889043
CIITA,HLA-DQB1,11332992
CIITA,HLA-DRA,9600954
CIITA,HLA-DRA,10886240;11429551;11889043;9300692
CIITA,HLA-DRB1,10886240
CIITA,HLA-DRB3,10886240
CIITA,HLA-DRB4,10886240
CIITA,HLA-DRB5,10886240
CIITA,HLA-F,11137213
CIITA,HLA-G,11137218
CIITA,IL4,10946277
CIITA,IL4,10946277;17645498
CIITA,IRF1,12052885;15950283
CIITA,IRF2,15950283
CIITA,MMP9,15247301
CIITA,PLXNA1,15814328
CIITA,PSMC5,22771340
CIITA,RAB4B,17175541
CIITA,S100A4,17143014
CIITA,SIRT1,22064865
CIITA,SLC26A3,9300700
CIITA,STAT1,12052885
CITED2,MMP1,12960175
CITED2,MMP13,12960175
CLOCK,BHLHE40,19032342
CLOCK,BHLHE41,14672706
CLOCK,CRY1,22750052
CLOCK,CRY1,17660446
CLOCK,CRY2,22750052
CLOCK,CRY2,17660446
CLOCK,1-Dec,14672706
CLOCK,KAT5,18458078
CLOCK,NAMPT,19299583
CLOCK,NR0B2,20674862
CLOCK,NR3C1,21164265
CLOCK,PER1,17994337;22750052
CLOCK,PER1,17660446;20551151;21479263
CLOCK,PER2,22750052
CLOCK,PER2,17660446
CLOCK,PER3,22750052
CLOCK,STAR,17431006
CLOCK,TPO,22284746
CNBP,MYC,23774591
CNOT7,MSMB,15937477
CNOT7,PMP22,15937477
CNOT8,MSMB,15937477
CNOT8,PMP22,15937477
COPS5,CDKN1B,16951171
COPS5,VEGFA,12542982
CRABP2,RARA,16166294
CREB1,ACACA,19842072
CREB1,ADRA1A,10520459
CREB1,AQP3,18495115
CREB1,AR,15994978;21457548
CREB1,BCL2,17290286
CREB1,BCL2,10542244;19626458
CREB1,BCL2L11,20367563
CREB1,BDKRB1,10842322
CREB1,BDKRB2,15632413
CREB1,BDNF,11719924
CREB1,CASP8,18342014
CREB1,CCK,15030385;15073527
CREB1,CCL5,11413310
CREB1,CD4,9765424
CREB1,CGA,10341006
CREB1,CRTC1,17334997
CREB1,CXCR4,11874984
CREB1,CYP11A1,11057754
CREB1,CYP11B1,11196473
CREB1,CYP11B2,11196473
CREB1,CYP17A1,2543297
CREB1,CYP19A1,15955695;16740737
CREB1,ERBB2,10698518
CREB1,ETV3,14754893
CREB1,FLT1,7499271
CREB1,FOS,12432566
CREB1,FOXA1,22577344
CREB1,GABPA,10585419
CREB1,GRPR,18483184
CREB1,GSK3A,11579131
CREB1,GSK3B,11579131
CREB1,HLA-DOB,12938212
CREB1,HLA-DQB1,1324879
CREB1,HMOX1,14523007
CREB1,HPGD,10650939
CREB1,IFNG,20006311;20685939
CREB1,IFNG,11907114
CREB1,IFNG,7759501
CREB1,IL10,10540320;22140263
CREB1,IL10,17202341
CREB1,IL2,8814256
CREB1,IL5RA,9742933
CREB1,IL6,8725624
CREB1,JUN,8647095
CREB1,JUN,10403485
CREB1,LAPTM4B,23469012
CREB1,LYL1,23000483
CREB1,MC2R,17712720
CREB1,MITF,19937254
CREB1,MMP2,10506168
CREB1,MSMB,9704017
CREB1,MUC4,19757157
CREB1,MUC4,11418607
CREB1,MUC5AC,18676374
CREB1,NDC80,17822787
CREB1,NF1,10435592
CREB1,NMNAT2,22027994
CREB1,NOLC1,21266110
CREB1,NPY,12967770
CREB1,NR2F1,15955695
CREB1,NR2F6,15955695
CREB1,NR4A3,10701778
CREB1,NR5A2,18191017
CREB1,NRF1,20587593
CREB1,NTS,7791794
CREB1,ODC1,1356108
CREB1,PCSK1,8999965
CREB1,PLAT,8647095
CREB1,PLAU,11776974
CREB1,POLD2,10978529
CREB1,PPM1D,19015127
CREB1,PPP2CA,17526027
CREB1,PPP2R2B,20533062
CREB1,PRL,17187171
CREB1,PSEN1,11116137
CREB1,PTGES,20688046
CREB1,PTGS2,22919060
CREB1,RP1,11593399
CREB1,RRM2B,11978967
CREB1,SLC19A1,11078737
CREB1,SLC20A1,11722845
CREB1,SLC22A8,16809478
CREB1,SLC39A1,19026724
CREB1,SMAD6,14755548
CREB1,SNAI1,15955695
CREB1,SNAI2,15955695
CREB1,SOX9,17289023
CREB1,SPRY2,14644509
CREB1,STMN1,23000483
CREB1,TH,11108136
CREB1,TLR9,15294971
CREB1,TRH,11134186;9827656
CREB1,UXT,17761951
CREB1,VIP,1847391
CREB1,XPC,21507255
CREB3,CXCR4,20473547
CREB3L1,SLC1A4,17617614
CREB3L4,DNAJC12,24122553
CREB5,ATP6V0E1,21132541
